City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,76.96,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Ajaccio,FR,69.85,42.0,8.9167,Sole E Monte
3,Jacareacanga,BR,81.34,-6.2222,-57.7528,Casa do Ian😎
4,Albany,US,75.79,42.6001,-73.9662,
5,Bethel,US,83.01,41.3712,-73.414,Courtyard by Marriott Danbury
8,Kapaa,US,83.48,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Ixtapa,MX,79.83,20.7,-105.2,hotel la terminal
10,Bredasdorp,ZA,60.6,-34.5322,20.0403,Bredasdorp Country Manor
13,Carutapera,BR,78.03,-1.195,-46.02,Lidera
14,Cidreira,BR,62.83,-30.1811,-50.2056,Hotel Castelo
15,Kieta,PG,78.48,-6.2167,155.6333,Uruna Bay Retreat
16,Orbetello,IT,71.62,42.4408,11.2196,Argentario Golf & Wellness Resort
17,Dali,CN,61.74,25.7,100.1833,Dali Travelling With Hostel
18,Banjar,ID,76.55,-8.19,114.9675,The Hamsa Resort
20,Quelimane,MZ,67.95,-17.8786,36.8883,Hotel Flamingo
21,East London,ZA,65.89,-33.0153,27.9116,Tu Casa
22,Tautira,PF,78.71,-17.7333,-149.15,Pension Oaoa
23,Rikitea,PF,73.0,-23.1203,-134.9692,People ThankYou
24,Aneho,TG,82.6,6.2333,1.6,Hotel La Linette
27,Yellowknife,CA,75.72,62.456,-114.3525,The Explorer Hotel
30,Rosetta,EG,74.23,31.4044,30.4164,Green Valley
32,Port Jervis,US,82.89,41.3751,-74.6927,Hampton Inn Matamoras/Milford
35,Jamestown,US,73.02,42.097,-79.2353,Hampton Inn & Suites Jamestown
36,Hithadhoo,MV,82.47,-0.6,73.0833,Scoop Guest House
37,Veraval,IN,83.75,20.9,70.3667,Lords Inn Somnath
39,Lagos,NG,82.72,6.5833,3.75,
45,Trairi,BR,76.98,-3.2778,-39.2689,janelas do mar
46,Vaini,TO,77.16,-21.2,-175.2,Keleti Beach Resort
50,Guerrero Negro,MX,72.66,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
52,Fort Nelson,CA,71.19,58.8053,-122.7002,The Fort Nelson Hotel
57,Richards Bay,ZA,62.04,-28.783,32.0377,BON Hotel Waterfront Richards Bay
58,Bathsheba,BB,84.81,13.2167,-59.5167,Atlantis Hotel
61,Oussouye,SN,81.37,12.485,-16.5469,Auberge du Routard
62,Bozhou,CN,73.81,33.8772,115.7703,Haitian Hotel
63,San Juan Del Sur,NI,82.62,11.2529,-85.8705,Nuestra Casa
64,Carnarvon,AU,65.89,-24.8667,113.6333,Hospitality Carnarvon
65,Cape Town,ZA,63.12,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
66,Atuona,PF,78.33,-9.8,-139.0333,Villa Enata
69,Namatanai,PG,79.5,-3.6667,152.4333,Seagulls Inn Namatani
70,Katsuura,JP,62.62,35.1333,140.3,Katsuura Hotel Mikazuki
71,Nouakchott,MR,73.33,18.0858,-15.9785,HOTEL IMAN
72,Avarua,CK,78.85,-21.2078,-159.775,Paradise Inn
73,Tutoia,BR,79.09,-2.7619,-42.2744,Pousada Guará's
78,Castanhal,BR,74.91,-1.2939,-47.9264,ESTAÇÃO HOTEL
79,Jijiga,ET,61.32,9.35,42.8,RAMAAS HOTEL
80,Alexandria,EG,75.74,31.2156,29.9553,Royal Crown Hotel
83,Kavieng,PG,81.32,-2.5744,150.7967,Nusa Island Retreat
84,Hermanus,ZA,63.03,-34.4187,19.2345,Misty Waves Boutique Hotel
85,Bambous Virieux,MU,71.85,-20.3428,57.7575,Casa Tia Villa
86,Hambantota,LK,79.14,6.1241,81.1185,Bungalow 63
87,Santa Cruz De La Palma,ES,69.94,28.6835,-17.7642,H10 Taburiente Playa
88,Saint-Philippe,RE,67.59,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
91,Lima,PE,64.65,-12.0432,-77.0282,Hotel Kamana
93,Knysna,ZA,66.43,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
96,Butaritari,KI,81.73,3.0707,172.7902,Isles Sunset Lodge
97,Hamilton,US,79.23,39.1834,-84.5333,Six Acres Bed & Breakfast
99,Vila Velha,BR,75.15,-20.3297,-40.2925,Hotel Vitória Palace
101,Port Alfred,ZA,68.18,-33.5906,26.891,The Halyards Hotel
102,Vanimo,PG,76.53,-2.6741,141.3028,Vahmoneh Lodge Vanimo
103,Alexandroupoli,GR,70.32,40.8475,25.8744,Marianna Hotel
108,Marsh Harbour,BS,82.15,26.5412,-77.0636,Abaco Beach Resort
