City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jakar,BT,2022-06-07 20:42:08,27.5492,90.7525,58.06,99,100,1.77
1,Necochea,AR,2022-06-07 20:42:08,-38.5473,-58.7368,57.11,56,88,12.24
2,Busselton,AU,2022-06-07 20:42:09,-33.65,115.3333,56.86,54,100,18.48
3,Wilmington,US,2022-06-07 20:41:07,34.2257,-77.9447,85.91,68,40,11.5
4,Seymchan,RU,2022-06-07 20:42:09,62.8833,152.4333,49.96,42,39,9.48
5,Avarua,CK,2022-06-07 20:42:10,-21.2078,-159.775,78.85,73,40,10.36
6,Henties Bay,NA,2022-06-07 20:42:12,-22.116,14.2845,70.86,38,0,7.85
7,Corralillo,CU,2022-06-07 20:42:12,22.9819,-80.5856,77.9,87,100,9.33
8,Cape Town,ZA,2022-06-07 20:42:13,-33.9258,18.4232,67.37,61,0,1.14
9,Tres Arroyos,AR,2022-06-07 20:42:14,-38.3739,-60.2798,58.03,49,100,13.33
10,Mataura,NZ,2022-06-07 20:42:14,-46.1927,168.8643,45.48,94,12,3.33
11,Paso De Carrasco,UY,2022-06-07 20:42:14,-34.8603,-56.0522,51.94,87,100,6.91
12,Keetmanshoop,NA,2022-06-07 20:42:15,-26.5833,18.1333,58.75,33,0,13.2
13,El Refugio,MX,2022-06-07 20:42:15,20.6667,-103.7333,93.96,21,5,3.8
14,Upernavik,GL,2022-06-07 20:42:15,72.7868,-56.1549,33.49,74,63,4.41
15,Broken Hill,AU,2022-06-07 20:42:16,-31.95,141.4333,48.74,60,98,7.23
16,Los Llanos De Aridane,ES,2022-06-07 20:42:16,28.6585,-17.9182,67.12,87,0,17.27
17,Umm Lajj,SA,2022-06-07 20:42:17,25.0213,37.2685,85.68,46,2,9.48
18,Egvekinot,RU,2022-06-07 20:42:17,66.3167,-179.1667,41.52,47,70,5.61
19,Qaanaaq,GL,2022-06-07 20:42:18,77.484,-69.3632,30.67,89,68,3.74
20,Salalah,OM,2022-06-07 20:42:18,17.0151,54.0924,84.29,79,75,9.22
21,Mayo,US,2022-06-07 20:42:18,38.8876,-76.5119,78.19,81,75,16.11
22,Nakskov,DK,2022-06-07 20:42:19,54.8373,11.1284,57.15,80,21,21.7
23,Road Town,VG,2022-06-07 20:42:19,18.4167,-64.6167,86.04,66,40,9.22
24,Hithadhoo,MV,2022-06-07 20:42:19,-0.6,73.0833,82.6,68,100,4.99
25,Kavieng,PG,2022-06-07 20:42:20,-2.5744,150.7967,81.66,76,98,9.35
26,Ranong,TH,2022-06-07 20:40:13,9.9658,98.6348,79.39,82,100,5.32
27,Evensk,RU,2022-06-07 20:42:20,61.95,159.2333,50.59,73,100,11.48
28,Hualmay,PE,2022-06-07 20:42:20,-11.0964,-77.6139,68.38,73,9,10.56
29,San Cristobal,VE,2022-06-07 20:42:20,7.7669,-72.225,78.98,55,38,4.12
30,Katsuura,JP,2022-06-07 20:42:21,35.1333,140.3,62.64,88,100,15.03
31,Bluff,NZ,2022-06-07 20:42:21,-46.6,168.3333,45.81,83,10,13.65
32,Uvira,CD,2022-06-07 20:42:21,-3.4067,29.1458,72.7,78,98,4.41
33,Ponta Do Sol,PT,2022-06-07 20:42:22,32.6667,-17.1,74.03,75,0,2.57
34,Macusani,PE,2022-06-07 20:42:22,-14.0833,-70.4333,46.11,49,20,3.6
35,Mar Del Plata,AR,2022-06-07 20:39:44,-38.0023,-57.5575,61.95,55,0,13.8
36,Surt,LY,2022-06-07 20:42:23,31.2089,16.5887,76.01,72,0,1.81
37,Half Moon Bay,US,2022-06-07 20:42:23,37.4636,-122.4286,85.53,70,75,25.32
38,Tiksi,RU,2022-06-07 20:42:23,71.6872,128.8694,38.32,89,43,6.64
39,Hermanus,ZA,2022-06-07 20:42:23,-34.4187,19.2345,66.09,45,1,8.97
40,Coquimbo,CL,2022-06-07 20:42:24,-29.9533,-71.3436,58.73,77,0,12.66
41,Geraldton,AU,2022-06-07 20:42:24,-28.7667,114.6,66.61,34,100,25.32
42,Yellowknife,CA,2022-06-07 20:38:07,62.456,-114.3525,73.92,27,75,8.05
43,Baie-Comeau,CA,2022-06-07 20:39:32,49.2168,-68.1489,56.88,47,40,18.41
44,Jalu,LY,2022-06-07 20:42:24,29.0331,21.5482,84.2,33,0,13.42
45,Ushuaia,AR,2022-06-07 20:40:02,-54.8,-68.3,44.26,57,20,12.66
46,Porto Velho,BR,2022-06-07 20:42:25,-8.7619,-63.9039,87.85,58,40,5.75
47,Lebu,CL,2022-06-07 20:42:25,-37.6167,-73.65,54.14,93,44,2.73
48,Jieshi,CN,2022-06-07 20:43:25,22.8134,115.8257,78.04,87,100,0.69
49,Salekhard,RU,2022-06-07 20:43:26,66.53,66.6019,54.09,46,12,8.68
50,Barrow,US,2022-06-07 20:43:26,71.2906,-156.7887,24.82,86,100,16.11
51,Zhaoyuan,CN,2022-06-07 20:43:26,37.3592,120.3964,58.68,83,73,4.97
52,Hervey Bay,AU,2022-06-07 20:43:27,-25.2986,152.8535,50.02,79,17,3.0
53,New Norfolk,AU,2022-06-07 20:43:27,-42.7826,147.0587,42.3,83,87,1.01
54,Rikitea,PF,2022-06-07 20:43:28,-23.1203,-134.9692,72.43,54,2,13.78
55,Valparaiso,CL,2022-06-07 20:43:25,-33.0393,-71.6273,64.63,79,0,9.22
56,Arlit,NE,2022-06-07 20:43:28,18.7369,7.3853,91.78,11,87,9.98
57,Kamaishi,JP,2022-06-07 20:43:28,39.2667,141.8833,51.64,89,100,6.82
58,Ostrow Mazowiecka,PL,2022-06-07 20:43:29,52.8024,21.8951,61.11,94,97,3.56
59,Bambanglipuro,ID,2022-06-07 20:43:29,-7.95,110.2833,75.94,87,53,3.71
60,Igrim,RU,2022-06-07 20:43:29,63.1906,64.4162,47.41,64,0,5.7
61,Klaksvik,FO,2022-06-07 20:43:30,62.2266,-6.589,47.32,73,100,17.47
62,Kruisfontein,ZA,2022-06-07 20:43:30,-34.0033,24.7314,60.89,36,0,6.58
63,Banjar,ID,2022-06-07 20:43:30,-8.19,114.9675,77.59,90,99,3.33
64,Thompson,CA,2022-06-07 20:43:31,55.7435,-97.8558,66.36,34,40,8.05
65,Porto Novo,BJ,2022-06-07 20:43:31,6.4965,2.6036,82.22,76,23,8.23
66,Waipawa,NZ,2022-06-07 20:43:31,-41.4122,175.5153,52.9,84,12,12.91
67,Lavrentiya,RU,2022-06-07 20:43:32,65.5833,-171.0,42.1,67,43,0.85
68,Vaini,TO,2022-06-07 20:43:32,-21.2,-175.2,75.36,73,20,10.36
69,Bethel,US,2022-06-07 20:43:32,41.3712,-73.414,75.02,70,100,4.0
70,Axim,GH,2022-06-07 20:43:32,4.8699,-2.2405,79.02,77,31,9.06
